时间,委托成交(BTC),市价成交(BTC),总量(BTC),市价比
2025-10-14 12:28,8.3410,2.0670,10.4080,19.86%
2025-10-14 12:30,0.0000,0.0000,0.0000,0.00%
2025-10-14 12:31,46.4120,35.9480,82.3600,43.65%
2025-10-14 12:32,1.4490,146.8210,148.2700,99.02%
2025-10-14 12:35,2.7250,16.8910,19.6160,86.11%
2025-10-14 12:38,205.4960,37.3420,242.8380,15.38%
2025-10-14 12:39,1.8290,2.9960,4.8250,62.09%
2025-10-14 12:40,5.0660,2.8510,7.9170,36.01%
2025-10-14 12:41,2.6520,62.4340,65.0860,95.93%
2025-10-14 13:02,6.8100,18.5570,25.3670,73.15%
2025-10-14 13:03,53.9680,66.2320,120.2000,55.10%
2025-10-14 13:04,7.3030,75.4090,82.7120,91.17%
2025-10-14 13:05,9.8200,15.5910,25.4110,61.36%
2025-10-14 13:07,26.7180,66.5730,93.2910,71.36%
2025-10-14 13:09,9.2640,52.5190,61.7830,85.01%
2025-10-14 13:10,121.4950,344.4550,465.9500,73.93%
2025-10-14 13:11,335.2000,602.2090,937.4090,64.24%
2025-10-14 13:12,97.8650,394.9700,492.8350,80.14%
2025-10-14 13:14,160.8940,7.6990,168.5930,4.57%
2025-10-14 13:15,125.1510,202.7660,327.9170,61.83%
2025-10-14 13:16,26.7740,19.7500,46.5240,42.45%
